,date_MES,date_fin,event,zone_corro
14257,2005-07-25,2018-12-31,0,0
16352,2006-12-17,2018-12-31,0,0
14738,1997-09-17,2018-11-11,1,1
6501,2007-05-10,2018-12-31,0,0
3454,2000-10-20,2018-12-31,0,1
902,2008-05-24,2018-12-31,0,0
8463,1988-06-17,2018-08-20,1,0
19405,1985-06-29,2018-12-31,0,0
12532,2003-10-30,2018-12-31,0,0
8409,2007-10-06,2018-12-31,0,0
359,1998-12-12,2018-12-31,0,0
1545,1986-07-04,2012-02-19,1,1
1062,2009-06-17,2018-12-31,0,1
9434,1997-05-23,2018-12-31,0,0
19599,2002-07-19,2018-12-31,0,0
8502,1990-01-18,2018-12-31,0,0
11747,1999-07-11,2014-07-30,1,1
16490,2009-01-12,2018-12-31,0,0
11724,2009-01-13,2018-12-31,0,0
6185,2008-03-26,2018-12-31,0,0
9708,1968-05-25,2018-12-31,0,0
7483,1999-01-05,2018-12-31,0,1
868,2005-12-22,2018-12-31,0,0
17195,1993-12-01,2018-12-31,0,0
5351,2006-05-14,2018-05-11,1,1
11467,2004-07-04,2014-11-26,1,1
9167,1989-02-19,2018-12-31,0,0
17005,2002-04-10,2018-12-31,0,0
5635,2002-07-26,2018-12-31,0,0
1427,1991-05-12,2018-12-31,0,1
5742,2008-01-25,2018-12-31,0,0
2083,2004-03-22,2016-08-01,1,0
15480,2001-03-22,2018-12-31,0,0
11399,1991-10-08,2014-05-11,1,1
8842,2004-02-14,2018-12-31,0,1
5874,1987-06-28,2012-06-15,1,1
11286,1984-04-30,2016-03-06,1,1
217,2006-07-20,2018-12-31,0,1
19944,2004-01-01,2018-12-31,0,0
13143,2004-01-15,2012-01-20,1,1
3648,1999-02-12,2018-12-31,0,0
135,2002-03-09,2018-12-31,0,0
19161,2008-09-08,2018-12-31,0,0
2811,1977-08-28,2018-12-31,0,0
1008,2004-03-21,2018-12-31,0,0
19212,2001-04-19,2018-12-31,0,0
16420,2003-12-25,2018-12-31,0,0
19379,2006-08-25,2013-09-05,1,1
10167,1987-03-01,2018-12-31,0,0
9047,2003-08-22,2018-12-31,0,0
390,1997-06-13,2018-12-31,0,0
19801,2002-12-09,2018-12-31,0,0
10750,2005-08-17,2018-12-31,0,1
14147,1993-10-01,2018-12-31,0,0
18824,2006-08-14,2018-11-17,1,1
15644,2004-11-24,2016-09-05,1,1
11238,1997-08-02,2018-12-31,0,0
14186,1993-12-01,2012-08-23,1,1
10735,1991-05-01,2018-12-31,0,0
10930,2001-05-08,2018-12-31,0,1
15089,2007-06-07,2018-12-31,0,0
2464,2002-12-25,2018-07-29,1,0
11134,2001-05-05,2018-07-11,1,1
7747,2003-06-10,2018-12-31,0,0
2217,1997-11-06,2018-12-31,0,0
8811,2007-08-09,2018-12-31,0,0
6237,2005-10-15,2018-12-31,0,0
5812,2004-03-03,2018-12-31,0,0
10931,1997-12-20,2018-12-31,0,0
16877,1992-07-24,2018-12-31,0,0
1315,2009-06-25,2018-12-31,0,1
17448,1993-08-18,2016-03-26,1,0
10207,1993-08-23,2018-12-31,0,0
12523,2002-05-15,2018-02-15,1,1
15042,1991-09-16,2018-12-31,0,1
6909,1999-08-26,2018-12-31,0,0
16502,2002-06-18,2018-12-31,0,0
4683,1989-09-30,2011-03-16,1,1
2924,2000-03-24,2018-07-14,1,1
16647,2000-07-07,2018-12-31,0,0
9156,2004-12-29,2018-12-31,0,0
4714,2004-12-27,2018-12-31,0,0
12372,1991-02-04,2011-09-29,1,0
9356,2001-12-22,2018-12-31,0,1
2813,1991-02-27,2014-04-01,1,1
2202,2006-12-13,2018-12-31,0,1
19735,2009-02-05,2018-12-31,0,0
5441,2000-01-18,2018-12-31,0,0
15524,2009-04-29,2018-12-31,0,0
7132,2003-03-07,2018-12-31,0,0
18238,1999-02-02,2018-03-28,1,0
11202,2004-03-15,2018-12-31,0,1
976,1988-05-06,2011-06-07,1,1
12511,2005-09-11,2018-12-31,0,0
14392,2001-07-20,2010-03-15,1,1
19093,1995-09-21,2012-11-07,1,1
7195,1998-10-22,2018-12-31,0,0
12499,1998-03-29,2018-12-31,0,0
5155,1997-03-25,2017-11-13,1,1
19909,2001-01-22,2018-12-31,0,1
12156,2005-07-19,2018-12-31,0,0
4490,2003-12-12,2018-12-31,0,0
13211,1984-08-26,2017-01-14,1,1
13997,2004-04-01,2018-12-31,0,0
10396,2000-09-01,2018-12-31,0,1
13934,1995-02-23,2018-12-31,0,0
9912,2008-11-07,2018-12-31,0,0
1894,2004-07-03,2013-01-15,1,0
18732,2001-09-06,2018-12-31,0,0
19186,2001-08-28,2018-12-31,0,0
19393,1997-07-29,2018-12-31,0,0
17392,2002-10-21,2018-12-31,0,0
8933,2005-05-12,2018-12-31,0,1
16969,2003-07-20,2018-12-31,0,0
3913,2008-03-04,2018-12-31,0,0
7049,2002-10-20,2014-05-10,1,0
18860,1997-07-09,2018-12-31,0,0
19180,1996-02-27,2018-12-31,0,0
18620,2001-07-23,2018-12-31,0,0
14833,2004-03-16,2018-12-31,0,0
10978,1997-09-07,2014-08-13,1,0
394,1992-10-31,2018-08-15,1,1
19454,2005-09-09,2018-12-31,0,0
16902,1996-12-17,2014-12-14,1,1
2631,2006-01-23,2018-12-31,0,1
18694,1995-03-20,2018-12-31,0,0
7221,1999-06-25,2018-12-31,0,0
18461,1992-10-21,2013-01-20,1,0
17254,1998-09-03,2012-11-23,1,0
10378,1993-12-23,2010-05-05,1,1
17581,2005-02-06,2018-12-31,0,0
9549,1984-03-21,2014-07-11,1,1
2065,1992-03-17,2013-07-19,1,1
17882,2004-08-01,2018-12-31,0,0
19300,2000-12-06,2018-12-31,0,0
5768,1997-11-11,2018-12-31,0,0
3623,2002-04-15,2018-12-31,0,0
2178,1999-12-29,2015-12-21,1,0
7156,2009-02-23,2018-12-31,0,0
3842,2004-01-12,2018-12-31,0,1
15022,2004-05-10,2018-12-31,0,1
7789,2005-06-12,2018-12-31,0,0
10205,1999-09-24,2018-12-31,0,0
11161,2006-05-30,2018-12-31,0,0
12335,1994-03-03,2018-12-31,0,0
7304,1993-07-13,2017-09-02,1,0
7096,2001-10-17,2018-12-31,0,1
5936,1998-04-15,2018-12-31,0,0
14501,2003-09-08,2018-12-31,0,0
16023,2008-06-07,2018-12-31,0,0
8838,2005-08-20,2018-12-31,0,0
19254,1998-10-03,2018-12-31,0,0
77,2002-06-16,2015-11-17,1,0
7944,2002-07-19,2018-12-31,0,0
10869,2006-02-01,2018-12-31,0,0
4373,2004-06-15,2018-12-31,0,1
8791,2009-03-22,2018-12-31,0,1
6138,2007-08-22,2018-12-31,0,0
9967,1995-02-01,2018-12-31,0,0
17515,2005-09-05,2018-12-31,0,0
12529,1999-04-04,2015-12-29,1,0
12282,1998-01-26,2018-12-31,0,0
16400,2005-10-31,2018-12-31,0,1
17450,1998-10-05,2012-09-27,1,1
5806,2007-07-28,2018-12-31,0,0
3516,1997-07-07,2018-01-12,1,1
3025,2000-12-20,2018-12-31,0,0
9377,2005-06-30,2018-12-31,0,0
5172,2008-04-11,2018-12-31,0,0
13478,1994-04-15,2018-12-31,0,0
10539,1995-03-31,2018-10-26,1,1
9980,1998-03-11,2018-12-31,0,0
2412,2008-06-20,2018-12-31,0,0
10027,2005-02-12,2018-12-31,0,0
16435,2003-04-19,2018-12-31,0,1
1760,2000-05-14,2018-12-31,0,1
10985,1997-06-18,2016-07-01,1,1
10314,1996-03-03,2014-09-10,1,0
11943,2002-01-21,2018-12-31,0,0
2472,2001-07-15,2018-12-31,0,0
14311,2006-07-26,2018-12-31,0,0
8252,1993-10-05,2018-12-31,0,1
6358,2003-07-15,2018-12-31,0,0
3664,2002-02-27,2018-12-31,0,0
3136,1990-05-18,2018-06-20,1,0
5608,2008-04-27,2018-12-31,0,0
1722,2008-01-25,2018-12-31,0,0
13779,1993-02-24,2018-12-31,0,1
14053,2008-11-14,2018-12-31,0,1
13336,2004-11-29,2018-12-31,0,0
6748,1993-05-08,2018-12-31,0,1
7208,1991-02-17,2018-12-31,0,0
6516,2001-03-14,2018-12-31,0,0
19705,1996-01-23,2018-12-31,0,0
5489,1998-01-10,2013-03-24,1,0
1575,1993-10-15,2018-12-31,0,1
14307,2005-11-02,2018-12-31,0,1
10669,1996-02-04,2018-06-28,1,1
18923,2002-05-05,2018-12-31,0,0
10953,1994-10-07,2018-12-31,0,1
3843,1998-07-28,2018-12-31,0,0
8026,2006-08-24,2018-12-31,0,0
271,2008-03-27,2018-12-31,0,0
12136,1985-05-17,2018-12-31,0,0
497,2004-01-03,2014-07-08,1,1
17959,2003-11-04,2018-12-31,0,0
4277,1986-05-21,2018-12-31,0,1
13070,1994-10-17,2018-12-31,0,0
17212,1997-11-19,2014-12-11,1,1
5910,2007-04-30,2018-12-31,0,0
19280,2007-01-20,2018-12-31,0,0
1695,2005-05-17,2018-12-31,0,0
700,2004-09-21,2018-12-31,0,0
19380,2001-08-17,2018-12-31,0,0
13503,1991-07-25,2016-03-17,1,1
15198,1990-09-02,2010-04-06,1,0
6894,2004-02-02,2018-10-16,1,0
17555,2003-12-15,2018-12-31,0,0
7594,1999-08-16,2010-06-11,1,0
18388,1997-07-03,2018-12-31,0,0
5785,1993-10-29,2018-12-31,0,1
7018,2003-03-30,2018-12-31,0,0
11972,2006-09-01,2018-12-31,0,1
16784,2006-10-09,2018-12-31,0,1
8915,1995-06-15,2016-11-17,1,1
5518,2006-05-01,2018-12-31,0,0
17576,1999-12-12,2018-12-31,0,0
15866,1991-07-02,2018-12-31,0,0
5912,2002-02-23,2018-12-31,0,0
6016,1995-10-07,2018-12-31,0,0
9137,1990-12-29,2014-09-13,1,1
2762,2004-11-28,2018-12-31,0,0
16361,2004-02-24,2018-12-31,0,0
17639,2002-10-12,2018-12-31,0,0
16233,2009-11-12,2018-12-31,0,1
6973,2002-04-28,2018-12-31,0,0
5252,1995-10-08,2018-12-31,0,0
4062,1996-03-19,2018-12-31,0,0
9550,2007-06-13,2018-12-31,0,0
7760,2001-04-20,2018-12-31,0,0
15821,2009-04-04,2018-12-31,0,0
16761,2006-06-12,2018-12-31,0,0
2470,2000-08-26,2018-12-31,0,0
9836,2007-07-24,2018-12-31,0,0
10620,2001-10-15,2018-12-31,0,0
6424,1993-07-04,2012-07-26,1,1
994,2005-09-12,2018-12-31,0,0
3749,2004-01-12,2018-12-31,0,0
4314,1996-02-01,2010-12-27,1,0
13962,2008-01-18,2018-12-31,0,0
18762,2002-05-02,2018-12-31,0,0
14985,2001-05-27,2018-12-31,0,0
12867,2002-10-28,2018-12-31,0,0
13718,1997-11-18,2018-12-31,0,0
16686,1991-04-03,2013-01-10,1,1
16572,2007-02-12,2018-12-31,0,0
10744,1988-01-19,2018-12-31,0,0
2946,1985-06-28,2017-09-11,1,0
8368,1995-09-29,2018-12-31,0,0
5889,2008-05-13,2018-12-31,0,0
2311,2001-10-06,2018-12-31,0,0
6028,2007-04-27,2018-12-31,0,0
16370,2001-08-10,2018-12-31,0,0
11633,2006-02-26,2018-12-31,0,1
10641,1999-03-25,2018-12-31,0,0
10498,2000-03-13,2018-12-31,0,0
6784,2001-01-02,2018-12-31,0,0
2612,1994-06-10,2013-12-27,1,1
1780,1978-04-26,2018-12-31,0,0
17879,1971-03-01,2011-12-10,1,0
15075,1999-05-31,2018-12-31,0,1
1279,2006-02-08,2018-12-31,0,0
7681,2004-06-23,2018-12-31,0,0
10350,2000-07-10,2018-12-31,0,1
17032,2004-05-18,2018-12-31,0,0
8328,2001-08-25,2010-12-01,1,1
17130,1995-11-27,2018-12-31,0,1
